nama,jenis,lokasi,status
PERPUSTAKAAN BABUSSALAM,Perpustakaan Desa,BABUSSALAM,AKTIF
PERPUSTAKAAN DESA BANYU URIP,Perpustakaan Desa,BANYU URIP,AKTIF
PERPUSTAKAAN DASAN TAPEN,Perpustakaan Desa,DASAN TAPEN,AKTIF
PERPUSTAKAAN GAPUK,Perpustakaan Desa,GAPUK,TIDAK AKTIF
PERPUSTAKAAN GERUNG UTARA,Perpustakaan Desa,GERUNG UTARA,AKTIF
PERPUSTAKAAN KEBON AYU,Perpustakaan Desa,KEBON AYU,TIDAK AKTIF
PERPUSTAKAAN MESANGGOK,Perpustakaan Desa,MESANGGOK,TIDAK AKTIF
PERPUSTAKAAN TEMPOS,Perpustakaan Desa,TEMPOS,AKTIF
PERPUSTAKAAN JATI SELA,Perpustakaan Desa,JATISELA,AKTIF
PERPUSTAKAAN KEKERI,Perpustakaan Desa,KEKERI,TIDAK AKTIF
PERPUSTAKAAN DASAN BARU,Perpustakaan Desa,DASAN BARU,TIDAK AKTIF
PERPUSTAKAAN GELOGOR,Perpustakaan Desa,GELOGOR,AKTIF
PERPUSTAKAAN DESA JAGARAGA INDAH,Perpustakaan Desa,JAGARAGA INDAH,TIDAK AKTIF
PERPUSTAKAAN KEDIRI,Perpustakaan Desa,KEDIRI,TIDAK AKTIF
PERPUSTAKAAN KEDIRI SELATAN,Perpustakaan Desa,KEDIRI SELATAN,TIDAK AKTIF
PERPUSTAKAAN LELEDE,Perpustakaan Desa,LELEDE,AKTIF
PERPUSTAKAAN OMBE BARU,Perpustakaan Desa,OMBE BARU,AKTIF
PERPUSTAKAAN RUMAK,Perpustakaan Desa,RUMAK,AKTIF
PERPUSTAKAAN GIRI SASAK,Perpustakaan Desa,GIRI SASAK,TIDAK AKTIF
PERPUSTAKAAN JAGARAGA,Perpustakaan Desa,JAGARAGA,TIDAK AKTIF
PERPUSTAKAAN DESA KURIPAN,Perpustakaan Desa,KURIPAN,TIDAK AKTIF
PERPUSTAKAAN KURIPAN UTARA,Perpustakaan Desa,KURIPAN UTARA,TIDAK AKTIF
PERPUSTAKAAN BAGIK POLAK,Perpustakaan Desa,BAGIK POLAK,TIDAK AKTIF
PERPUSTAKAAN BAJUR,Perpustakaan Desa,BAJUR,TIDAK AKTIF
PERPUSTAKAAN BENGKEL,Perpustakaan Desa,BENGKEL,TIDAK AKTIF
PERPUSTAKAAN  KURANJI,Perpustakaan Desa,KURANJI,TIDAK AKTIF
PERPUSTAKAAN KURANJI DALANG,Perpustakaan Desa,KURANJI DALANG,TIDAK AKTIF
PERPUSTAKAAN LABUAPI,Perpustakaan Desa,LABUAPI,TIDAK AKTIF
PERPUSTAKAAN TELAGAWARU,Perpustakaan Desa,TELAGAWARU,TIDAK AKTIF
PERPUSTAKAAN LABUAN TERENG,Perpustakaan Desa,LABUAN TERENG,TIDAK AKTIF
PERPUSTAKAAN  LEMBAR SELATAN,Perpustakaan Desa,LEMBAR SELATAN,TIDAK AKTIF
PERPUSTAKAAN JEMBATAN GANTUNG,Perpustakaan Desa,JEMBATAN GANTUNG,TIDAK AKTIF
PERPUSTAKAAN JEMBATAN KEMBAR TIMUR,Perpustakaan Desa,JEMBATAN KEMBAR TIMUR,TIDAK AKTIF
PERPUSTAKAAN BATU KUMBUNG,Perpustakaan Desa,BATU KUMBUNG,TIDAK AKTIF
PERPUSTAKAAN BATU MEKAR,Perpustakaan Desa,BATU MEKAR,TIDAK AKTIF
PERPUSTAKAAN BUGBUG,Perpustakaan Desa,BUG-BUG,AKTIF
PERPUSTAKAAN DASAN GERIA,Perpustakaan Desa,DASAN GERIA,TIDAK AKTIF
PERPUSTAKAAN LANGKO,Perpustakaan Desa,LANGKO,TIDAK AKTIF
PERPUSTAKAAN SARIBAYE,Perpustakaan Desa,SARIBAYE,AKTIF
PERPUSTAKAAN SIGERONGAN,Perpustakaan Desa,SIGERONGAN,TIDAK AKTIF
PERPUSTAKAAN KARANG BAYAN,Perpustakaan Desa,KARANG BAYAN,TIDAK AKTIF
PERPUSTAKAAN BADRAIN,Perpustakaan Desa,BADRAIN,AKTIF
PERPUSTAKAAN BATU KUTA,Perpustakaan Desa,BATU KUTA,TIDAK AKTIF
PERPUSTAKAAN DASAN TERENG,Perpustakaan Desa,DASAN TERENG,TIDAK AKTIF
PERPUSTAKAAN GOLONG,Perpustakaan Desa,GOLONG,AKTIF
PERPUSTAKAAN GERIMAX INDAH,Perpustakaan Desa,GERIMAX INDAH,TIDAK AKTIF
PERPUSTAKAAN KERU,Perpustakaan Desa,KERU,AKTIF
PERPUSTAKAAN KRAMA JAYA,Perpustakaan Desa,KRAMA JAYA,TIDAK AKTIF
PERPUSTAKAAN LEBAH SEMPAGE,Perpustakaan Desa,LEBAH SEMPAGE,TIDAK AKTIF
PERPUSTAKAAN MEKARSARI,Perpustakaan Desa,MEKARSARI,AKTIF
PERPUSTAKAAN NYIUR LEMBANG,Perpustakaan Desa,NYIUR LEMBANG,TIDAK AKTIF
PERPUSTAKAAN SELAT,Perpustakaan Desa,SELAT,AKTIF
PERPUSTAKAAN SESAOT,Perpustakaan Desa,SESAOT,TIDAK AKTIF
PERPUSTAKAAN NARMADA,Perpustakaan Desa,NARMADA,TIDAK AKTIF
PERPUSTAKAAN DESA PERESAK,Perpustakaan Desa,PERESAK,TIDAK AKTIF
PERPUSTAKAAN DESA SEDAU,Perpustakaan Desa,SEDAU,AKTIF
PERPUSTAKAAN DESA SEMBUNG,Perpustakaan Desa,SEMBUNG,AKTIF
PERPUSTAKAAN DESA SURANADI,Perpustakaan Desa,SURANADI,AKTIF
PERPUSTAKAAN BATU PUTIH,Perpustakaan Desa,BATU PUTIH,TIDAK AKTIF
PERPUSTAKAAN BUWUN MAS,Perpustakaan Desa,BUWUN MAS,TIDAK AKTIF
PERPUSTAKAAN SEKOTONG TENGAH,Perpustakaan Desa,SEKOTONG TENGAH,AKTIF
PERPUSTAKAAN PENIMBUNG,Perpustakaan Desa,PENIMBUNGAN,AKTIF "2005"
PERPUSTAKAAN RANJOK,Perpustakaan Desa,RANJOK,AKTIF "2015"
